segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s019.265,3840,2160,56.4,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00109957,0.064874,0.064874,0.0
AncientThought_s020.265,640,360,9.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00017504,0.010327,0.010327,0.0
AncientThought_s020.265,960,540,11.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00020147,0.011887,0.011887,0.0
AncientThought_s020.265,1280,720,13.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00024762,0.014609,0.014609,0.0
AncientThought_s020.265,1920,1080,18.5,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00035893,0.021177,0.021177,0.0
AncientThought_s020.265,2560,1440,26.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00051019,0.030101,0.030101,0.0
AncientThought_s020.265,3840,2160,52.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.0010162,0.059956,0.059956,0.0
AncientThought_s021.265,640,360,10.1,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00018389,0.01085,0.01085,0.0
AncientThought_s021.265,960,540,12.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00023146,0.013656,0.013656,0.0
AncientThought_s021.265,1280,720,16.4,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00030757,0.018147,0.018147,0.0
AncientThought_s021.265,1920,1080,24.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.0004815,0.028409,0.028409,0.0
AncientThought_s021.265,2560,1440,34.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00067614,0.039892,0.039892,0.0
AncientThought_s021.265,3840,2160,73.4,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00144647,0.085342,0.085342,0.0
